"Resource","Method","HttpMethod","UrlTemplate","InputType","ReturnType"
"EDocument","EDocumentResponse","POST","/api/v2/EDocument/EDocumentResponse","EDocumentResponseParam","TResult`1"
"EDocument","EDocumentItemResponse","POST","/api/v2/EDocument/EDocumentItemResponse","EDocumentItemResponseParam","TResult`1"
"EDocument","EArchiveCancellationInvoice","POST","/api/v2/EDocument/EArchiveCancellationInvoice","EArchiveCancelInvoiceParam","TResult`1"
"ExRates","GetInternal","GET","/api/v2/ExRates","SelectFilter","TSelectData`1"
"ExRates","GetInternalById","GET","/api/v2/ExRates/GetInternalById","String","TResult`1"
"ExRates","GetInternalByParam","GET","/api/v2/ExRates/GetInternalByParam","ExRatesParam","TResult`1"
"ExRates","PostInternal","POST","/api/v2/ExRates","ExRates","TResult`1"
"ExRates","PutInternal","PUT","/api/v2/ExRates","String, ExRates","TResult`1"
"ExRates","DeleteInternalById","DELETE","/api/v2/ExRates","String","TResult`1"
"ExRates","DeleteInternalByParam","DELETE","/api/v2/ExRates/DeleteInternalByParam","ExRatesParam","TResult`1"
"FastPayMain","Describe","POST","/api/v2/FastPayMain/Describe","","String"
"FastPayMain","GetInternalById","GET","/api/v2/FastPayMain/GetInternalById","String","TResult`1"
"FastPayMain","PostInternal","POST","/api/v2/FastPayMain","FastPayMain","TResult`1"
"FastPayMain","DeleteInternalById","DELETE","/api/v2/FastPayMain","String","TResult`1"
"FastPayMain","FastPayRefund","POST","/api/v2/FastPayMain/FastPayRefund","FastPayRefundParam","TResult`1"
"FinishedGoodsReceipt","GetInternal","GET","/api/v2/FinishedGoodsReceipt","SelectFilter","TSelectData`1"
"FinishedGoodsReceipt","GetInternalById","GET","/api/v2/FinishedGoodsReceipt/GetInternalById","String","TResult`1"
"FinishedGoodsReceipt","DeleteInternalById","DELETE","/api/v2/FinishedGoodsReceipt","String","TResult`1"
"FinishedGoodsReceipt","PostInternal","POST","/api/v2/FinishedGoodsReceipt","FinishedGoodsReceipt","TResult`1"
"FinishedGoodsReceipt","PutInternal","PUT","/api/v2/FinishedGoodsReceipt","Int32, FinishedGoodsReceipt","TResult`1"
"FinishedGoodsReceiptWChanges","Describe","POST","/api/v2/FinishedGoodsReceiptWChanges/Describe","","String"
"FinishedGoodsReceiptWChanges","GetInternal","GET","/api/v2/FinishedGoodsReceiptWChanges","SelectFilter","TSelectData`1"
"FinishedGoodsReceiptWChanges","GetInternalById","GET","/api/v2/FinishedGoodsReceiptWChanges/GetInternalById","String","TResult`1"
"FinishedGoodsReceiptWChanges","GetFromProductionOrder","GET","/api/v2/FinishedGoodsReceiptWChanges/GetFromProductionOrder","String","TResult`1"
"FinishedGoodsReceiptWChanges","DeleteInternalById","DELETE","/api/v2/FinishedGoodsReceiptWChanges","String","TResult`1"
"FinishedGoodsReceiptWChanges","ReceiptProduce","POST","/api/v2/FinishedGoodsReceiptWChanges/ReceiptProduce","FinishedGoodsReceiptWChanges","TResult`1"
"FinishedGoodsReceiptWChanges","Save","POST","/api/v2/FinishedGoodsReceiptWChanges/Save","FinishedGoodsReceiptWChanges","TResult`1"
"FlexibleConfiguration","Describe","POST","/api/v2/FlexibleConfiguration/Describe","","String"
"FlexibleConfiguration","GetFlexibleConfigurations","GET","/api/v2/FlexibleConfiguration/GetFlexibleConfigurations","FlexibleConfigurationGetParam","TResult`1"
"FlexibleConfiguration","DeleteFlexibleConfiguration","DELETE","/api/v2/FlexibleConfiguration/DeleteFlexibleConfiguration","String","TResult`1"
"FlexibleConfiguration","DefineFlexibleConfigurationProperties","POST","/api/v2/FlexibleConfiguration/DefineFlexibleConfigurationProperties","FlexibleConfigurationDefinePropertiesParam","TResult`1"
"FlexibleConfiguration","AddFlexibleConfigurations","POST","/api/v2/FlexibleConfiguration/AddFlexibleConfigurations","FlexibleConfigurationAddParam","TResult`1"
